custom_id,id,upc,brand,groupname,title,price,shelfdescr,shortdescr,longdescr,modelno,shipweight,dimensions
3,11961447,80844700031.0,Comprehensive,TV Accessories,Comprehensive Two-Piece 75 Precision BNC Jack for RG-59 Set of 25,59.25,Comprehensive s True 75 connectors eliminate impedance mismatching and distortion that can be caused by using 50 connectors on 75 cable. True 75 BNC connectors are a must for all digital high bandwidth applications above 300 MHz and recommended for all analog applications. A lifetime warranty makes Comprehensive connectors the preferred choice of video multimedia consultants and engineers worldwide. Specifications Electrical -Impedance 75 ohm -Freq. Range 0-4 GHZ w low reflection 500V peak 1.3 max. -Thermal limits Usable to 11 GHZ -Voltage Rating PE insulators -55 degrees C to 85 degrees C Mechanical -Mating 2-stud bayonet lock coupling per m39012 -Center Contact Captivated center contact -Cable Retention Crimps 20 to 50 lbs Material -Center contacts Male Female Brass beryllium copper -Body Brass astroplate finish -Crimp Ferrule Copper -Insulators TFE Teflon 75 all crimps rexolite -Derlin 50 glass IFE hermetically sealed -Clamp Gaskets Synthetic rubber silicone rubber -Boots O ring crimp silicone rubber -Heat Shrink Tubing All other crimps thermofit plastic  Comprehensive offers a lifetime warranty on all products,,CH1151Comprehensive s True 75 connectors eliminate impedance mismatching and distortion that can be caused by using 50 connectors on 75 cable. True 75 BNC connectors are a must for all digital high bandwidth applications above 300 MHz and recommended for all analog applications. A lifetime warranty makes Comprehensive connectors the preferred choice of video multimedia consultants and engineers worldwide. Specifications Electrical   Impedance 75 ohm Freq. Range 0-4 GHZ w low reflection 500V peak 1.3 max. Thermal limits Usable to 11 GHZ Voltage Rating PE insulators -55 degrees C to 85 degrees C Mechanical   Mating 2-stud bayonet lock coupling per m39012 Center Contact Captivated center contact Cable Retention Crimps 20 to 50 lbs   Material   Center contacts Male Female Brass beryllium copper Body Brass astroplate finish Crimp Ferrule Copper Insulators TFE Teflon 75 all crimps rexolite Derlin 50 glass IFE hermetically sealed Clamp Gaskets Synthetic rubber silicone rubber Boots O ring crimp silicone rubber Heat Shrink Tubing All other crimps thermofit plastic   Comprehensive offers a lifetime warranty on all products,BJ-2C7559,0.05,
10,13215623,5113580710.0,3M,Electronics - General,3M MW310LE Gel Mouse Pad,17.88,Mouse Pad  Features Antimicrobial non-skid base  Color Black,Mouse pad with wrist rest features 3M Precise Optical Mousing Surface for better performance and gel comfort to encourage neutral wrist posture. Mousing surface extends battery life of wireless mice up to 75 percent. Antimicrobial additive inhibits the growth of microorganisms such as bacteria that can cause stains odors and product degradation.,Mouse Pad  Features Antimicrobial non-skid base  Color Black,MW310LE,0.95,9.63 x 7.65 x 0.36 inches
13,14251773,64109210858.0,Draper,Electronics - General,Draper AT1200 Access MultiView Series E Acoustically Transparent Screen - 106 diagonal HDTV to NTSC Format,4375.95,The Access MultiView Series E offers total flexibility. One screen two formats. Ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection. Features -Ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection..-Flat black mask on second motor-in-roller converts the projection screen to a 4 3 NTSC format by masking the right and left sides of the viewing surface..-Height of viewing surface remains constant..-Custom sizes available. Screen Material AT1200 Innovative and versatile acoustically transparent screen material. Similar in gain performance to standard matt white. Acoustical properties comparable to the finest speaker grille cloth. Peak gain of 1.0. Installation Instructions,,DR7989The Access MultiView Series E offers total flexibility. One screen two formats. Ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection.   Features Ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection. Flat black mask on second motor-in-roller converts the projection screen to a 4 3 NTSC format by masking the right and left sides of the viewing surface. Height of viewing surface remains constant. Custom sizes available    Screen Material AT1200  Innovative and versatile acoustically transparent screen material. Similar in gain performance to standard matt white. Acoustical properties comparable to the finest speaker grille cloth. Peak gain of 1.0.,106018,96.0,
18,17054419,78927019146.0,SKB Cases,Electronics - General,SKB Cases PH Series Pull Handle Case 11 1 2 H x 21 5 8 W x 16 3 8 D outside,214.99,Telescoping retractable pull-handle convenience combined with maximum strength and durability help this line of SKB transit cases set a new industry standard. Molded of high density polyethylene with designed-in roller-blade style wheels. Molded-in bumpers defend these cases from impact damage. Features -Cases are molded of durable impact resistent high-density polyethylene -Convenient retractable pull-handle -Quiet durable roller-blade style wheels -Molded in protective bumpers protect case hardware -Heavy-duty buckle latch system -Comfortable spring loaded side handles Dimensions -Outside Dimensions 11 1 2 H x 21 5 8 W x 16 3 8 D -Inside Dimensions 10 H x 19 3 8 W x 14 D -Lid Depth 4 -Base Depth 6 About SKB Cases In 1977 the first SKB case was manufactured in a small Anaheim California garage. Today SKB engineers provide cases for hundreds of companies involved in many diverse industries. We enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders. We never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow. We are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an SKB logo has been manufactured with an unconditional commitment to unsurpassed quality. The Million Mile Guaranty - Every SKB hardshell case is unconditionally guaranteed forever. That means IF YOU BREAK IT WE WILL REPAIR OR REPLACE IT AT NO COST TO YOU. SKB cases have been on the road since 1977 and have spent a good deal of time flying equipment for military combat operations. These ar,,SK1027Telescoping retractable pull-handle convenience combined with maximum strength and durability help this line of SKB transit cases set a new industry standard. Molded of high density polyethylene with designed-in roller-blade style wheels. Molded-in bumpers defend these cases from impact damage. Features -Cases are molded of durable impact resistent high-density polyethylene -Convenient retractable pull-handle -Quiet durable roller-blade style wheels -Molded in protective bumpers protect case hardware -Heavy-duty buckle latch system -Comfortable spring loaded side handles Dimensions -Outside Dimensions 11 1 2 H x 21 5 8 W x 16 3 8 D -Inside Dimensions 10 H x 19 3 8 W x 14 D -Lid Depth 4 -Base Depth 6 About SKB Cases In 1977 the first SKB case was manufactured in a small Anaheim California garage. Today SKB engineers provide cases for hundreds of companies involved in many diverse industries. We enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders. We never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow. We are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an SKB logo has been manufactured with an unconditional commitment to unsurpassed quality. The Million Mile Guaranty - Every SKB hardshell case is unconditionally guaranteed forever. That means IF YOU BREAK IT WE WILL REPAIR OR REPLACE IT AT NO COST TO YOU. SKB cases have been on the road since 1977 and have spent a good deal of time flying equipment for military combat operations. These are tough cases built for a lifetime of service. The Manufacturing Process The Evolution Components and Construction of SKB Cases. The unique styling construction materials and engineering of SKB Cases were the result of many years of research and development by the principle owners of the company. Today Dave Sanderson and Steve Kottman run SKB Corporation s more than 550 employees in 3 manufacturing facilities around the clock in order to meet the global demands. Currently SKB manufactures cases for military industrial purposes the Music Pro Audio Industry and Sports Cases. - SKB Cases are manufactured of ultra-high molecular weight Polyethylene. This unique material was originally specified by the military for use in weapons cases due to the fact that it is impervious to solvents fuels or toxic liquids. It is essentially indestructible molds easily under heat and forms an impenetrable shield thereby protecting whatever it is contains. - SKB also utilizes aluminum valance material for its strength and lightweight characteristics on all closures with a special slot for a custom fitted Neoprene gasket that assists in sealing out moisture. SKB does all this valance bending in house to assure a perfect fit. - All riveting on SKB cases utilizes steel backing plates to prevent pulling through the plastic material. This is an SKB invention. This attention to detail is one of many factors that make SKB cases superior to all others. - Handles wheels D-rings exterior feet cam-action locking latches and butterfly clamps are all heavy duty variety and are also covered under the exclusive SKB Lifetime Warranty unless abused. Some of the handles and latches are manufactured by SKB from plastic regrind . Plus SKB has their own investment casting facility for making latches and hardware. - Rack mount cases utilize aluminum rack frames and include specially designed rack clips and mounting screws for installation of equip,3SKB-1914MR,14.0,19.0 x 14.0 x 10.0 inches
24,15140580,7278206878.0,Avery,Stationery &amp; Office Machinery,Avery Shipping Labels for Color Laser   Copier 3-3 4 x 4-3 4 Matte White 100 Pack,16.67,Matte white mailing labels Guaranteed printer performance in HP Canon Epson and other popular printers Set of 300 labels,Create labels that get noticed These labels are ideal for mailings messages invitations and announcements. Don t let the small areas of life elude your personality make labels that speak to your creativity.,Avery Shipping Labels for Color Laser and Copier Matte White 300 Set Matte white mailing labels Provide vivid color and sharp text for brilliant high-resolution color images Guaranteed printer performance in HP Canon Epson and other popular printers Set of 300 labels,,,
25,15379706,81265801087.0,Aluratek,MP3 Accessories,Aluratek Deluxe Leather Travel Case for the Libre eBook Reader Pro,23.1,Premium quality hand-stitched leather Held securely with outside magnetic clasp Lightweight and compact for easy travel Sturdy and stylish black leather exterior,Aluratek s deluxe leather travel case is designed exclusively for the Libre eBook Reader Pro. This unique leather case lets you carry your Libre Pro in style.,Aluratek Deluxe Leather Travel Case for the LIBRE eBook Reader Pro Premium quality hand-stitched leather Held securely with outside magnetic clasp Securely holds the eBook reader in place with flexible straps on top and bottom Lightweight and compact for easy travel Sturdy and stylish black leather exterior protects the Libre Soft suede interior protects screen from scratches Built-in pockets in inside flap Compatible With Aluratek Libre Pro,2782753,0.5,6.25 x 4.75 x 1.0 inches
32,15841819,84593302782.0,Tribeca,Electronics - General,Chicago Bears Camera Case,19.99,Capture that special moment and slip your camera in this Chicago Bears Camera Case before the next big play. Made of high quality nylon the case features a stash pocket on the front to hold your memory cards and accessories.,,Capture that special moment and slip your camera in this Chicago Bears Camera Case before the next big play. Made of high Soft lining protects camera optics and LCD Pockets for memory cards and accessories Belt loop and removable shoulder strap Officially licensed by the NFL,FVA2782,,
35,893161,8869800428.0,HP,Printers,HP 45 Black Inkjet Cartridge 51645A,35.78,Pigment-based inks for richer prints,For the best quality black and white printouts     This item is currently available online only.,Pigment-based inks provide denser more waterfast and fade-resistant printouts Specially designed to work with HP inkjet specialty papers transparencies or plain paper Estimated page yield 833 pages Compatible with HP DeskJets 1000C 1000C 1100C 1120C 1120C 1120C 1125C 1220C 1220C 1600C 1600CM 1600CN 710C 712C 720C 722C 820C 820C 830C 832C 850C 855C 855C 870C 870C 880C 882C 890C 890C 895C 895C 930C 932C 935C 950C 952C 970C 970C 990C 990C. HP OfficeJets G55 G55xi G85 G85xi G95 Pro 1150C Pro 1150C Pro 1170C Pro 1170C Pro 1170C Pro 1175C Pro 1175C Pro 1175C R40 R40xi R45 R60 R65 R80 R80xi T45 T45xi T65 T65xi. HP PhotoSmart 1000 1100 1100xi 1215 1215vm 1218 1218xi,51645A,0.4,4.0 x 4.0 x 2.0 inches
36,17235530,6369260398.0,TomTom,GPS,TomTom XXL 550,169.95,5  touchscreen Includes US Canada and Mexico using TomTom s premium maps on demand updates with the latest maps Lifetime traffic and map updates,The TomTom XXL 550 GPS is complete 5 widescreen navigation. Navigate using the EasyMenu to any location in the US Canada or Mexico or to one of 7 million preloaded points of interest. Only TomTom has IQ Routes so you ll always be directed to the quickest most efficient route.,TomTom XXL 550 5  touchscreen Presents information clearly and brightly for optimal navigation Includes US Canada and Mexico using TomTom s premium maps on demand updates with the latest maps Announces street names Lifetime traffic and map updates Skip the traffic jams Battery Lasts up to 3 hours Includes GPS easy port mount adhesive disk USB Traffic Receiver and home charging cable,1EP001901,1.1,7.0 x 7.0 x 1.8 inches
37,11684414,63924704087.0,iLuv,Portable Audio,iLuv Desktop Alarm Clock with Bed Shaker for your iPhone iPod - Pink,54.88,AM FM radio with PLL digital tuning and dual alarm clock In-bed shaker for vibrating alarm Wake to iPod FM radio vibration or buzzer and sleep to iPod or FM radio Large LCD display with 10-step dimmer level control AUX-input for any audio devices with 3.5mm jack  Plays and charges iPod iPhone while docked Compatible with all dockable iPods excluding 1G 2G 3G Includes AC adapter,iLuv Desktop Alarm Clock with Bed Shaker for your iPhone iPod - Pink,AM FM radio with PLL digital tuning and dual alarm clock In-bed shaker for vibrating alarm Wake to iPod FM radio vibration or buzzer and sleep to iPod or FM radio Large LCD display with 10-step dimmer level control AUX-input for any audio devices with 3.5mm jack  Plays and charges iPod iPhone while docked Compatible with all dockable iPods excluding 1G 2G 3G Includes AC adapter,IMM153PNK,6.5,6.0 x 4.25 x 3.5 inches
